Date,MoonPhase,Season,Month,PoyaName,PakkhaType,special
2027-06-04,NewMoon,Gimhana,Jettha,Phussa,15,
2027-06-19,FullMoon,Gimhana,Jettha,Phussa,15,
2027-07-03,NewMoon,Gimhana,Asalha,Phussa,14,
2027-07-18,FullMoon,Gimhana,Asalha,Phussa,15,
2027-07-19,,Vassana,Savana,Sāvana,1,Purimikā vassūpanāyikā  
2027-08-02,NewMoon,Vassana,Savana,Sāvana,15,
2027-08-17,FullMoon,Vassana,Savana,Sāvana,15,
2027-08-18,,Vassana,Potthapada,Potthapada,1,Pacchimikā vassūpanāyikā  
2027-08-31,NewMoon,Vassana,Potthapada,Poṭṭhapāda,14,
2027-09-15,FullMoon,Vassana,Potthapada,Poṭṭhapāda,15,
2027-09-30,NewMoon,Vassana,Assayuja,Assayuja,15,
2027-10-15,FullMoon,Vassana,Assayuja,Assayuja,15,Purimikā Pavāraṇā
